name,url,logo
Bombas,http://bombas.com/,bombas.gif
Cole and Parker,http://coleandparker.co/,coleandparker.jpg
Divine Chocolate,http://www.divinechocolate.com/us/,divinechocolate.jpg
Dot Products,http://www.dotproducts.org/,dotproducts.png
Faucet Face,http://faucetface.com/,faucetface.png
FEED,http://www.feedprojects.com/,feed.png
Good Spread,http://www.helpgoodspread.com/,goodspread.png
Panda,https://wearpanda.com/,panda.png
Project 7,http://project7.com/,project7.jpg
Surf Sweets,http://www.surfsweets.com/,surfsweets.png
Yoobi,http://yoobi.com/,yoobi.jpg
